lat,lon,risk,row,col
1115453.3428608703,637999.469215034,1.0,690,106
1115453.3428608703,640629.469215034,1.0,690,369
1115413.3428608703,642159.469215034,1.0,694,522
1115383.3428608703,637939.469215034,1.0,697,100
1115353.3428608703,640659.469215034,1.0,700,372
1115343.3428608703,640659.469215034,1.0,701,372
1115333.3428608703,640659.469215034,1.0,702,372
1115323.3428608703,640659.469215034,1.0,703,372
1115313.3428608703,640659.469215034,1.0,704,372
1115293.3428608703,640689.469215034,1.0,706,375
1115283.3428608703,640689.469215034,1.0,707,375
1115273.3428608703,640689.469215034,1.0,708,375
1115273.3428608703,642209.469215034,1.0,708,527
1115263.3428608703,640689.469215034,1.0,709,375
1115263.3428608703,642219.469215034,1.0,709,528
1115253.3428608703,640689.469215034,1.0,710,375
1115243.3428608703,640689.469215034,1.0,711,375
1115233.3428608703,640699.469215034,1.0,712,376
1115233.3428608703,640709.469215034,1.0,712,377
1115223.3428608703,640699.469215034,1.0,713,376
1115223.3428608703,640709.469215034,1.0,713,377
1115193.3428608703,638049.469215034,1.0,716,111
1115183.3428608703,637009.469215034,1.0,717,7
1115183.3428608703,637019.469215034,1.0,717,8
1115183.3428608703,638029.469215034,1.0,717,109
1115183.3428608703,638039.469215034,1.0,717,110
1115183.3428608703,640719.469215034,1.0,717,378
1115183.3428608703,640729.469215034,1.0,717,379
1115183.3428608703,640739.469215034,1.0,717,380
1115173.3428608703,636979.469215034,1.0,718,4
1115173.3428608703,636999.469215034,1.0,718,6
1115173.3428608703,637009.469215034,1.0,718,7
1115173.3428608703,637019.469215034,1.0,718,8
1115173.3428608703,638019.469215034,1.0,718,108
1115173.3428608703,638029.469215034,1.0,718,109
1115173.3428608703,638039.469215034,1.0,718,110
1115173.3428608703,640729.469215034,1.0,718,379
1115173.3428608703,640739.469215034,1.0,718,380
1115173.3428608703,640749.469215034,1.0,718,381
1115173.3428608703,640769.469215034,1.0,718,383
1115163.3428608703,640739.469215034,1.0,719,380
1115163.3428608703,640749.469215034,1.0,719,381
1115163.3428608703,640759.469215034,1.0,719,382
1115163.3428608703,640769.469215034,1.0,719,383
1115153.3428608703,640749.469215034,1.0,720,381
1115153.3428608703,640759.469215034,1.0,720,382
1115153.3428608703,640769.469215034,1.0,720,383
1115143.3428608703,640779.469215034,1.0,721,384
1115143.3428608703,640789.469215034,1.0,721,385
1115143.3428608703,640799.469215034,1.0,721,386
1115133.3428608703,640779.469215034,1.0,722,384
1115133.3428608703,640789.469215034,1.0,722,385
1115133.3428608703,640799.469215034,1.0,722,386
1115123.3428608703,640799.469215034,1.0,723,386
